product_name,sugar_g,carbs_g,calories,sodium_mg,fat_g,age_group,bmi_category,diabetes_type,label
Sunduk lawang,0.0,32.4,181.0,0.0,1.3,elderly,normal,2,Caution
Sunduk lawang,0.0,32.4,181.0,0.0,1.3,child,normal,1,Caution
Sunduk lawang,0.0,32.4,181.0,0.0,1.3,child,normal,0,Recommended
"Jengkol, segar",0.0,40.7,192.0,60.0,0.3,adult,normal,0,Recommended
"Jengkol, segar",0.0,40.7,192.0,60.0,0.3,adult,overweight,0,Recommended
"Jengkol, segar",0.0,40.7,192.0,60.0,0.3,adult,normal,1,Caution
"Jengkol, segar",0.0,40.7,192.0,60.0,0.3,adult,overweight,2,Caution
"Jengkol, segar",0.0,40.7,192.0,60.0,0.3,elderly,normal,2,Caution
"Jengkol, segar",0.0,40.7,192.0,60.0,0.3,child,normal,1,Caution
"Jengkol, segar",0.0,40.7,192.0,60.0,0.3,child,normal,0,Recommended
"Ketan putih, matang",0.0,35.7,163.0,8.0,0.4,adult,normal,0,Recommended
"Ketan putih, matang",0.0,35.7,163.0,8.0,0.4,adult,overweight,0,Recommended
"Ketan putih, matang",0.0,35.7,163.0,8.0,0.4,adult,normal,1,Caution
